DateTime,AddedIPs,RemovedIPs
1470766800,7,4
1470768000,113,30
1470768600,44,0
1470771600,27,44
1470772200,59,0
1470774000,8,2
1470775200,37,46
1470778800,41,56
1470781200,6,6
1470782400,41,53
1470783000,3,0
1470786000,40,44
1470786600,23,0
1470788400,4,7
1470789600,27,53
1470790200,22,0
1470793200,35,89
1470795600,7,6
1470796800,53,153
1470800400,104,147
1470801000,9,0
1470802200,2,0
1470802800,4,4
